author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,25.85,-67.65,19866.601192958875,particle/m3,0.0004094161320992316,µg/m3,0.136,100.0,µm,Not reported,ocean,size range from table 1,3.6,288.6011775552583,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,25.95,-70.9,5676.171769416821,particle/m3,0.00011697603774263759,µg/m3,0.136,100.0,µm,Not reported,ocean,size range from table 1,3.6,82.45747930150236,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,22.54,113.59,215858.3388393244,particle/m3,0.00444846530670197,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,3135.7638968577207,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.060826248650609e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,22.24,113.67,554036.4030209327,particle/m3,0.011417727620535056,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,8048.460668601484,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.060826248650609e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,22.02,114.48,136710.28126490544,particle/m3,0.0028173613609112475,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,1985.9838013432231,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,17.31,113.19,43891.19556399596,particle/m3,0.0009045212790294006,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,637.6053256944033,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,14.33,112.48,165491.39311014867,particle/m3,0.00341049006847151,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,2404.0856542575857,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,11.22,111.94,24463.945068456764,particle/m3,0.0005041594014262233,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,355.3865749772084,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,5.54,109.83,50366.94572917569,particle/m3,0.0010379752382304597,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,731.6782426001349,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,1.85,108.35,57562.223690486506,particle/m3,0.0011862574151205254,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,836.2037058287257,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-2.88,107.14,12951.500330359464,particle/m3,0.00026690791840211823,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,188.14583381146326,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-6.55,104.38,46049.778952389206,particle/m3,0.0009490059320964204,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,668.9629646629805,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-8.37,98.72,5756.222369048651,particle/m3,0.00011862574151205255,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,83.62037058287257,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-9.34,93.0,1439.0555922621627,particle/m3,2.9656435378013137e-05,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,20.905092645718142,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-8.36,89.68,3597.6389806554066,particle/m3,7.414108844503284e-05,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,52.262731614295355,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-4.19,88.21,57562.223690486506,particle/m3,0.0011862574151205254,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,836.2037058287257,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,0.19,87.46,129515.00330359463,particle/m3,0.0026690791840211824,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,1881.4583381146324,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506096e-05
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,2.73,87.28,86343.33553572976,particle/m3,0.001779386122680788,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,3.6,1254.3055587430883,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
