author,year,doi,shape,measure,height,lat,lon,start_date,end_date,duration,number,number_units,n_obs,n_loc,size_min,size_max,size_units,obs_size_min,obs_size_max,mass,mass_units,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Li,2021,https://doi.org/10.1016/j.scitotenv.2021.150767,fragment,concentration,,17.3125,113.15625,2020-07-25,2020-08-14,16 days,50.62480662498843,particle/m3,2,2,0.0871,100.0,µm,50.0,500.0,4.026551756246645e-05,µg/m3,2.7,1.3578315328030204,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Liu,2019,https://doi.org/10.1016/j.envint.2019.105127,fragment,concentration,,31.0,121.4,2019-05-01,2019-06-30,60 days,1709.9934682218213,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.001360079704332192,µg/m3,2.7,45.86453177467953,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Liu,2019,https://doi.org/10.1021/acs.est.9b03427,fragment,concentration,,12.5,142.0,2018-12-08,2018-12-22,14 days,27.187781878208362,particle/m3,2,1,0.0871,100.0,µm,50.0,500.0,2.1624381043287707e-05,µg/m3,2.7,0.7292161689557916,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Liu,2019,https://doi.org/10.1021/acs.est.9b03427,fragment,concentration,,21.0,130.0,2018-12-01,2018-12-29,14 days,16.30281161292343,particle/m3,2,1,0.0871,100.0,µm,50.0,500.0,1.296678824238176e-05,µg/m3,2.7,0.4372653083962227,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Liu,2019,https://doi.org/10.1021/acs.est.9b03427,fragment,concentration,,28.0,122.5,2018-11-24,2019-01-03,12 days,657.1724222340081,particle/m3,2,1,0.0871,100.0,µm,50.0,500.0,0.0005226960747731669,µg/m3,2.7,17.626327820034035,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Liu,2025,https://doi.org/10.1016/j.jes.2023.09.027,fragment,concentration,,33.99,119.84,2022-01-22,2022-02-06,2 days,1082495.8651170365,particle/m3,2,1,0.0871,100.0,µm,50.0,500.0,0.8609861286196527,µg/m3,2.7,29034.126108825076,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Long,2024,https://doi.org/10.1029/2024jd041546,fragment,concentration,,42.13333333333333,114.8,2023-04-19,2023-05-08,20 days,1.829426612350067,particle/m3,20,1,0.0871,100.0,µm,50.0,500.0,1.4550733978006964e-06,µg/m3,2.7,0.04906790379662998,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Nafea,2024,https://doi.org/10.1016/j.envpol.2024.125567,fragment,concentration,,29.775,121.725,2023-04-20,2024-12-23,94 days,1391.9042577168736,particle/m3,94,2,0.0871,100.0,µm,50.0,500.0,0.0011070806798243922,µg/m3,2.7,37.332912810334804,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Rao,2024,https://doi.org/10.1016/j.jhazmat.2023.132860,fragment,concentration,,32.12,118.96,2020-08-01,2021-08-01,348 days,32957.4890525698,particle/m3,12,1,0.0871,100.0,µm,50.0,500.0,0.02621344045995846,µg/m3,2.7,883.9681741223806,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Sharaf,2024,https://doi.org/10.1016/j.scitotenv.2023.168398,fragment,concentration,,33.645572,72.990345,2022-12-07,2022-12-23,9 days,14326.611942334175,particle/m3,9,1,0.0871,100.0,µm,50.0,500.0,0.01139497576845964,µg/m3,2.7,384.2607359991691,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Shruti,2022,https://doi.org/10.1016/j.scitotenv.2022.157601,fragment,concentration,,19.424,-99.139,2020-01-01,2020-09-30,177 days,2133.5087996441016,particle/m3,6,1,0.0871,100.0,µm,50.0,500.0,0.0016969316382404232,µg/m3,2.7,57.22383386328923,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695924
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,25.95,-70.900002,2016-06-23,2016-06-24,1 days,999.9961802466851,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.0007953682481474852,µg/m3,2.7,26.821363610923857,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695924
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,25.8499995,-67.650002,2016-06-22,2016-06-23,1 days,3499.9866308633977,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.0027837888685161988,µg/m3,2.7,93.87477263823351,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,26.5,-50.3999995,2016-06-15,2016-06-16,1 days,1499.9942703700276,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.001193052372221228,µg/m3,2.7,40.23204541638579,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,32.2,-38.450001,2016-06-10,2016-06-11,1 days,3499.9866308633977,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.0027837888685161988,µg/m3,2.7,93.87477263823351,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,36.3999995,-30.350000500000004,2016-06-07,2016-06-08,1 days,2999.988540740055,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.002386104744442456,µg/m3,2.7,80.46409083277157,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,39.3500005,-19.75,2016-06-02,2016-06-03,1 days,3499.9866308633977,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.0027837888685161988,µg/m3,2.7,93.87477263823351,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,43.8500005,-12.45,2016-05-31,2016-06-01,1 days,3999.9847209867403,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.0031814729925899407,µg/m3,2.7,107.28545444369543,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695924
Trainic,2020,https://doi.org/10.1038/s43247-020-00061-y,fragment,concentration,,46.0500015,-8.0,2016-05-29,2016-05-30,1 days,3499.9866308633977,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.0027837888685161988,µg/m3,2.7,93.87477263823351,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2020,https://doi.org/10.1016/j.jhazmat.2019.121846,fragment,concentration,,-4.19,88.21,2019-03-20,2019-04-25,36 days,43.99983193085414,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,3.499620291848936e-05,µg/m3,2.7,1.1801399988806498,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Wang,2020,https://doi.org/10.1016/j.jhazmat.2019.121846,fragment,concentration,,0.19,87.46,2019-03-20,2019-04-25,36 days,98.99962184442182,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,7.874145656660104e-05,µg/m3,2.7,2.655314997481462,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Wang,2020,https://doi.org/10.1016/j.jhazmat.2019.121846,fragment,concentration,,2.73,87.28,2019-03-20,2019-04-25,36 days,65.99974789628122,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,5.249430437773403e-05,µg/m3,2.7,1.7702099983209747,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Wang,2020,https://doi.org/10.1016/j.jhazmat.2019.121846,fragment,concentration,,1.85,108.35,2019-03-20,2019-04-25,36 days,43.99983193085414,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,3.499620291848936e-05,µg/m3,2.7,1.1801399988806498,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Wang,2020,https://doi.org/10.1016/j.jhazmat.2019.121846,fragment,concentration,,14.33,112.48,2019-03-20,2019-04-25,36 days,126.49951680120567,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.00010061408339065691,µg/m3,2.7,3.3929024967818684,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
