author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-2.88,107.14,0.0018,particle/m3,0.00018,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-6.55,104.38,0.0064,particle/m3,0.00064,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-8.37,98.72,0.0008,particle/m3,8e-05,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-9.34,93.0,0.0002,particle/m3,2e-05,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-8.36,89.68,0.0005,particle/m3,5e-05,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-4.19,88.21,0.008,particle/m3,0.0008,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,0.19,87.46,0.018,particle/m3,0.0018,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,2.73,87.28,0.012,particle/m3,0.0012,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,6.09,86.82,0.0001,particle/m3,1e-05,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,8.93,86.87,0.0016,particle/m3,0.00016,ug/m3,59.0,2252.0,µm,Fibers + Fragments,ocean,size range from section 3.2
