author,year,doi,measure,lat,lon,particle/m3,ug/m3,particle/m2/d,t/km2/yr,size_min_um,size_max_um,shape,area,notes
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,26.52,-24.71,0.52,0.05174,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,11.79,-29.305,0.02,0.00193,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,8.17,-29.61,0.01,0.00149,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,4.51,-29.97,0.01,0.00057,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,1.72,-30.445,0.0,0.0,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-1.925,-30.985,0.0,0.0,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-6.2,-31.525,0.0,0.0,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-9.895,-32.455,0.0,0.0,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-13.615,-33.715,0.0,0.0,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-17.095,-35.01,0.0,0.0,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-20.89,-36.66,0.0,0.0,,,1.0,50.0,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
