author,year,doi,shape,measure,height,grid_lat,grid_lon,lat,lon,start_date,end_date,duration,number,number_units,n_obs,n_loc
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fiber,concentration,,20.0,112.5,19.34133333333333,112.51566666666669,2019-10-01,2019-10-07,3 days,0.019844933333333335,particle/m3,3,3
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fiber,concentration,,20.0,115.0,20.551375,114.576625,2019-09-27,2019-10-01,4 days,0.023898875,particle/m3,4,4
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fiber,concentration,,22.0,112.5,22.836,113.65,2019-10-08,2019-10-09,1 days,0.04073225,particle/m3,1,1
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fiber,concentration,,22.0,115.0,22.018,114.4815,2019-09-26,2019-09-27,1 days,0.029775199999999998,particle/m3,1,1
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fragment,concentration,,18.0,110.0,18.271666666666672,111.05699999999999,2019-10-03,2019-10-06,3 days,0.004974733333333333,particle/m3,3,3
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fragment,concentration,,20.0,112.5,19.34133333333333,112.51566666666669,2019-10-01,2019-10-07,3 days,0.006106133333333334,particle/m3,3,3
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fragment,concentration,,20.0,115.0,20.551375,114.576625,2019-09-27,2019-10-01,4 days,0.0073535,particle/m3,4,4
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fragment,concentration,,22.0,112.5,22.836,113.65,2019-10-08,2019-10-09,1 days,0.012533,particle/m3,1,1
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,fragment,concentration,,22.0,115.0,22.018,114.4815,2019-09-26,2019-09-27,1 days,0.0091616,particle/m3,1,1
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,sphere,concentration,,18.0,110.0,18.271666666666672,111.05699999999999,2019-10-03,2019-10-06,3 days,0.001989893333333333,particle/m3,3,3
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,sphere,concentration,,20.0,112.5,19.34133333333333,112.51566666666669,2019-10-01,2019-10-07,3 days,0.002442453333333334,particle/m3,3,3
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,sphere,concentration,,20.0,115.0,20.551375,114.576625,2019-09-27,2019-10-01,4 days,0.0029414,particle/m3,4,4
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,sphere,concentration,,22.0,112.5,22.836,113.65,2019-10-08,2019-10-09,1 days,0.0050132,particle/m3,1,1
Ding,2021,https://doi.org/10.1016/j.atmosenv.2021.118389,sphere,concentration,,22.0,115.0,22.018,114.4815,2019-09-26,2019-09-27,1 days,0.00366464,particle/m3,1,1
Ferrero,2022,https://doi.org/10.1016/j.scitotenv.2022.153709,fiber,concentration,,54.0,17.5,54.5,18.5,2019-10-16,2019-10-18,2 days,135.0,particle/m3,1,1
Ferrero,2022,https://doi.org/10.1016/j.scitotenv.2022.153709,fiber,concentration,,54.0,20.0,54.5,19.25,2019-10-20,2019-10-21,1 days,37.0,particle/m3,1,1
Ferrero,2022,https://doi.org/10.1016/j.scitotenv.2022.153709,fiber,concentration,,56.0,17.5,55.89,18.18,2019-10-21,2019-10-30,5 days,85.6,particle/m3,4,4
Ferrero,2022,https://doi.org/10.1016/j.scitotenv.2022.153709,fiber,concentration,,56.0,20.0,56.9,19.0,2019-10-23,2019-10-24,1 days,39.0,particle/m3,1,1
Ferrero,2022,https://doi.org/10.1016/j.scitotenv.2022.153709,fiber,concentration,,58.0,20.0,57.5,19.0,2019-10-24,2019-10-28,4 days,31.75,particle/m3,4,1
Gaston,2020,https://doi.org/10.1177/0003702820920652,fiber,concentration,,34.0,-120.0,34.15,-119.0333333333333,2019-01-01,2019-03-31,89 days,0.6,particle/m3,1,1
Gaston,2020,https://doi.org/10.1177/0003702820920652,fragment,concentration,,34.0,-120.0,34.15,-119.0333333333333,2019-01-01,2019-03-31,89 days,5.6,particle/m3,1,1
Gossmann,2023,https://doi.org/10.1021/acs.est.3c05002,sphere,concentration,,58.0,12.5,58.247222222222234,11.754166666666666,2021-09-27,2021-10-03,6 days,160.29024835261754,particle/m3,6,4
Gossmann,2023,https://doi.org/10.1038/s41467-023-39340-5,sphere,concentration,,58.0,5.0,58.558684,4.703998,2021-07-04,2021-07-05,2 days,1.2295873385371787,particle/m3,2,1
Gossmann,2023,https://doi.org/10.1038/s41467-023-39340-5,sphere,concentration,,60.0,0.0,60.7997855,1.1554385,2021-06-08,2021-06-09,2 days,1.2568153503494686,particle/m3,2,1
Gossmann,2023,https://doi.org/10.1038/s41467-023-39340-5,sphere,concentration,,60.0,5.0,59.052333000000004,4.75955,2021-06-06,2021-06-07,2 days,4.540478663257693,particle/m3,2,1
Gossmann,2023,https://doi.org/10.1038/s41467-023-39340-5,sphere,concentration,,66.0,7.5,65.738202,8.4480915,2021-06-29,2021-07-02,6 days,0.3695667342795664,particle/m3,2,1
Gossmann,2023,https://doi.org/10.1038/s41467-023-39340-5,sphere,concentration,,68.0,7.5,67.660976,7.25285,2021-06-13,2021-06-17,8 days,1.766892590242013,particle/m3,2,1
Gossmann,2023,https://doi.org/10.1038/s41467-023-39340-5,sphere,concentration,,70.0,15.0,69.6003875,14.6211995,2021-06-25,2021-06-26,2 days,1.361007293690265,particle/m3,2,1
Gossmann,2023,https://doi.org/10.1038/s41467-023-39340-5,sphere,concentration,,74.0,17.5,73.0507685,18.3024,2021-06-20,2021-06-21,2 days,1.1489959147381925,particle/m3,2,1
Guo,2024,https://doi.org/10.1007/s10653-024-02125-w,fragment,concentration,,30.0,90.0,29.633333333333333,91.16666666666667,2023-02-20,2023-02-23,2 days,6.545,particle/m3,2,1
Kaushik,2024,https://doi.org/10.1016/j.scitotenv.2023.168705,fiber,concentration,,16.0,72.5,15.45,73.2,2016-03-01,2020-11-30,118 days,0.560135593220339,particle/m3,4,1
Kaushik,2024,https://doi.org/10.1016/j.scitotenv.2023.168705,film,concentration,,16.0,72.5,15.45,73.2,2016-03-01,2020-11-30,118 days,0.36554237288135594,particle/m3,4,1
Kaushik,2024,https://doi.org/10.1016/j.scitotenv.2023.168705,fragment,concentration,,16.0,72.5,15.45,73.2,2016-03-01,2020-11-30,118 days,0.4583898305084746,particle/m3,4,1
Kyriakoudes,2023,https://doi.org/10.1016/j.chemosphere.2023.140258,fiber,concentration,,50.0,-5.0,50.37510000000001,-4.1384,2021-11-05,2021-12-17,42 days,0.049496,particle/m3,12,1
