study,doi,lat,lon,sub_type1,sub_type2,psd,psd_id,shape,low_size,high_size,density,shape_factor,slope,log_intercept,alpha,scale
Klein2019,10.1016/j.scitotenv.2019.05.405,53.79,9.98,Total deposition,Outdoor,Kle19_A,Kle19_A_1,Fragments,20.0,5000.0,1e-06,9.4e-08,-1.0705584000844643,3.7765818642062547,-2.0705584000844643,6400.180580022497
Klein2019,10.1016/j.scitotenv.2019.05.405,53.56,9.99,Total deposition,Outdoor,Kle19_B,Kle19_B_1,Fragments,20.0,5000.0,1e-06,9.4e-08,-1.0131728847334007,3.7276731089344013,-2.0131728847334007,5411.986035302499
Klein2019,10.1016/j.scitotenv.2019.05.405,53.5,10.02,Total deposition,Outdoor,Kle19_C,Kle19_C_1,Fragments,20.0,5000.0,1e-06,9.4e-08,-0.9615524598334194,3.364223205613846,-1.9615524598334195,2224.314478814136
Klein2019,10.1016/j.scitotenv.2019.05.405,53.42,9.85,Total deposition,Outdoor,Kle19_D,Kle19_D_1,Fragments,20.0,5000.0,1e-06,9.4e-08,-1.5205620719289112,4.569530522665329,-2.5205620719289112,56433.19985093718
Klein2019,10.1016/j.scitotenv.2019.05.405,53.42,9.85,Total deposition,Outdoor,Kle19_E,Kle19_E_1,Fragments,20.0,5000.0,1e-06,9.4e-08,-1.2587624104295498,4.342929560312376,-2.25876241042955,27725.11305197518
Klein2019,10.1016/j.scitotenv.2019.05.405,53.42,9.85,Total deposition,Outdoor,Kle19_F,Kle19_F_1,Fragments,20.0,5000.0,1e-06,9.4e-08,-1.2765197155799,4.219378572436587,-2.2765197155798997,21154.662412181868
Knobloch2020,10.1007/s11270-021-05080-9,-43.52,172.58,Total deposition,Outdoor,Kno20_A,Kno20_A_1,Fibers,50.0,1000.0,1e-06,0.0001060287520586555,-0.5867742367980967,3.300125613354365,-1.5867742367980968,1171.1071987995554
Levermore2020,10.1021/acs.analchem.9b05445,55.52,-0.15,Aerosol,Outdoor,Lev19_A,Lev19_A_1,Fragments,5.0,40.0,1e-06,9.4e-08,-3.3053768498904383,6.453105076927173,-4.305376849890438,9382661.705416184
Liao2021,10.1016/j.jhazmat.2021.126007,28.0,120.7,Aerosol,Indoor,Lia21_A,Lia21_A_1,Fragments,5.0,5000.0,1e-06,9.4e-08,-1.1296560851293942,4.335277726197081,-2.129656085129394,24446.90992029859
Liao2021,10.1016/j.jhazmat.2021.126007,28.0,120.7,Aerosol,Outdoor,Lia21_B,Lia21_B_1,Fragments,5.0,5000.0,1e-06,9.4e-08,-1.2553156674801127,3.7520415098536857,-2.2553156674801125,7092.4202171253055
