type,year,mon,lon,lat,particle/m3,ug/m3,study,doi,size_low,size_high,size_units,shape,setting,notes
4,2021,1,-32.455,-9.895,0.0,0.0,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-33.715,-13.615,0.0,0.0,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-35.01,-17.095,0.0,0.0,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-36.66,-20.89,0.0,0.0,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-38.445,-24.405,0.0,0.0,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-40.365,-27.435,0.13,0.01316,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-42.715,-30.68,0.0,1e-05,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-45.375,-33.985,0.0,0.0,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-47.83,-36.8,0.0,0.0,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-50.63,-39.92,0.03,0.00321,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-54.31,-43.44,0.01,0.00103,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-58.82,-46.955,0.08,0.00785,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
