study,doi,lat,lon,particle/m3,ug/m3,size_low,size_high,size_units,shape,setting,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,46.05,-8.0,854.8286325510558,0.00042281923534641814,0.092,99.5,um,Not reported,ocean,size range from table 1,2.8,20.988004868861488,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,43.85,-12.45,976.9470086297779,0.00048322198325304917,0.092,99.5,um,Not reported,ocean,size range from table 1,2.8,23.98629127869884,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,39.35,-19.75,854.8286325510558,0.00042281923534641814,0.092,99.5,um,Not reported,ocean,size range from table 1,2.8,20.988004868861488,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,38.4,-21.8,488.47350431488894,0.00024161099162652459,0.092,99.5,um,Not reported,ocean,size range from table 1,2.8,11.99314563934942,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,36.4,-30.35,732.7102564723334,0.0003624164874397869,0.092,99.5,um,Not reported,ocean,size range from table 1,2.8,17.98971845902413,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,32.2,-38.45,854.8286325510558,0.00042281923534641814,0.092,99.5,um,Not reported,ocean,size range from table 1,2.8,20.988004868861488,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,26.5,-50.4,366.3551282361667,0.00018120824371989345,0.092,99.5,um,Not reported,ocean,size range from table 1,2.8,8.994859229512064,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,25.85,-67.65,854.8286325510558,0.00042281923534641814,0.092,99.5,um,Not reported,ocean,size range from table 1,2.8,20.988004868861488,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,25.95,-70.9,244.23675215744447,0.00012080549581326229,0.092,99.5,um,Not reported,ocean,size range from table 1,2.8,5.99657281967471,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,22.54,113.59,3391.98018675895,0.0016777567038150898,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,83.28089860809216,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,22.24,113.67,8706.08247934797,0.0043062422064587295,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,213.75430642743652,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,22.02,114.48,2148.2541182806685,0.0010625792457495567,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,52.744569118458365,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,17.31,113.19,689.7026379743198,0.0003411438631090683,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,16.93378271697874,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,14.33,112.48,2600.5181431818614,0.0012862801395915687,0.092,99.5,um,Fibers + Fragments,ocean,size range from section 3.2,2.8,63.848688932870644,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
