author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,29.88,122.34,296.6740316881096,particle/m3,0.0002359660061865576,µg/m3,0.0871,100.0,µm,Fibers,land,size range from section 3.3,2.7,7.957232472490649,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,28.66,122.03,155.40068326520029,particle/m3,0.0001236012413358159,µg/m3,0.0871,100.0,µm,Fibers,land,size range from section 3.3,2.7,4.168074152257007,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,46.05,-8.0,558.9931848215692,particle/m3,0.00044460712842746763,µg/m3,0.0871,100.0,µm,Not reported,ocean,size range from table 1,2.7,14.993016735753049,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,43.85,-12.45,638.8493540817933,particle/m3,0.0005081224324885343,µg/m3,0.0871,100.0,µm,Not reported,ocean,size range from table 1,2.7,17.134876269432052,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,39.35,-19.75,558.9931848215692,particle/m3,0.00044460712842746763,µg/m3,0.0871,100.0,µm,Not reported,ocean,size range from table 1,2.7,14.993016735753049,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,38.4,-21.8,319.42467704089665,particle/m3,0.00025406121624426715,µg/m3,0.0871,100.0,µm,Not reported,ocean,size range from table 1,2.7,8.567438134716026,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,36.4,-30.35,479.137015561345,particle/m3,0.0003810918243664008,µg/m3,0.0871,100.0,µm,Not reported,ocean,size range from table 1,2.7,12.85115720207404,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,32.2,-38.45,558.9931848215692,particle/m3,0.00044460712842746763,µg/m3,0.0871,100.0,µm,Not reported,ocean,size range from table 1,2.7,14.993016735753049,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,26.5,-50.4,239.5685077806725,particle/m3,0.0001905459121832004,µg/m3,0.0871,100.0,µm,Not reported,ocean,size range from table 1,2.7,6.42557860103702,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,25.85,-67.65,558.9931848215692,particle/m3,0.00044460712842746763,µg/m3,0.0871,100.0,µm,Not reported,ocean,size range from table 1,2.7,14.993016735753049,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Trainic,2020.0,https://doi.org/10.1038/s43247-020-00061-y,concentration,25.95,-70.9,159.71233852044833,particle/m3,0.00012703060812213358,µg/m3,0.0871,100.0,µm,Not reported,ocean,size range from table 1,2.7,4.283719067358013,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,22.54,113.59,1951.757792258492,particle/m3,0.0015523721057153373,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,52.349005386905866,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,22.24,113.67,5009.511666796797,particle/m3,0.003984421738002699,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,134.36244715972506,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,22.02,114.48,1236.1132684303782,particle/m3,0.0009831690002863802,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,33.15437007837372,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,17.31,113.19,396.8574177592268,particle/m3,0.0003156489948287853,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,10.644297762004195,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,14.33,112.48,1496.3476407315104,particle/m3,0.0011901519477150921,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,40.1342374632945,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695928
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,11.22,111.94,221.19921645596241,particle/m3,0.0001759355053144049,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,5.932887277182664,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,5.54,109.83,455.41015152698145,particle/m3,0.00036222015800024533,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,12.214767923611369,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,1.85,108.35,520.4687446022646,particle/m3,0.00041396589485742327,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,13.959734769841564,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-2.88,107.14,117.1054675355095,particle/m3,9.314232634292023e-05,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,3.140940323214352,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-6.55,104.38,416.3749956818117,particle/m3,0.00033117271588593866,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,11.167787815873252,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-8.37,98.72,52.04687446022646,particle/m3,4.139658948574233e-05,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,1.3959734769841565,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-9.34,93.0,13.011718615056616,particle/m3,1.0349147371435583e-05,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,0.34899336924603913,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-8.36,89.68,32.529296537641535,particle/m3,2.5872868428588954e-05,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,0.8724834231150977,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-4.19,88.21,520.4687446022646,particle/m3,0.00041396589485742327,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,13.959734769841564,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,0.19,87.46,1171.0546753550952,particle/m3,0.0009314232634292022,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,31.409403232143518,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,2.73,87.28,780.7031169033968,particle/m3,0.0006209488422861348,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,20.939602154762344,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,6.09,86.82,6.505859307528308,particle/m3,5.1745736857177915e-06,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,0.17449668462301957,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,8.93,86.87,104.09374892045292,particle/m3,8.279317897148466e-05,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,2.791946953968313,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,11.82,86.95,97.5878896129246,particle/m3,7.761860528576685e-05,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,2.617450269345293,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,13.88,87.06,91.0820303053963,particle/m3,7.244403160004907e-05,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,2.442953584722274,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,4.16,79.66,91.0820303053963,particle/m3,7.244403160004907e-05,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range from section 3.2,2.7,2.442953584722274,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Wang,2021.0,https://doi.org/10.1016/j.jhazmat.2021.125477,concentration,20.56,113.11,36.9381592064527,particle/m3,2.9379551200467286e-05,µg/m3,0.0871,100.0,µm,Fibers + Films + Fragments,ocean,size range from section 3.2; count is mean of all samples,2.7,0.9907355835599923,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Yuan,2023.0,https://doi.org/10.1016/j.scitotenv.2023.161839,concentration,23.13,113.26,827.0351806502035,particle/m3,0.0006578000354239573,µg/m3,0.0871,100.0,µm,Fibers,land,size range from section 3.2,2.7,22.182296030144006,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Allen,2019.0,https://doi.org/10.1038/s41561-019-0335-5,deposition,42.804,1.419,449094.8306165215,particle/m2/d,0.00040834942861737647,t/km2/yr,0.0871,100.0,µm,Fibers + Films + Fragments,land,size range estimated from figure 2,2.5,17316.802809676436,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.002489451510787215
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,36.0586,-112.184,34857.06032163191,particle/m2/d,3.1694554680309827e-05,t/km2/yr,0.0871,100.0,µm,Fibers + Fragments,land,size range stated in paper,2.5,1344.0654377741362,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.002489451510787216
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,42.929,-109.7875,21163.21519527652,particle/m2/d,1.9243122484473822e-05,t/km2/yr,0.0871,100.0,µm,Fibers + Fragments,land,size range stated in paper,2.5,816.0397300771541,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.002489451510787215
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,43.4605,-113.5551,43260.10164916817,particle/m2/d,3.9335206255027376e-05,t/km2/yr,0.0871,100.0,µm,Fibers + Fragments,land,size range stated in paper,2.5,1668.0812129518297,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.002489451510787216
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,40.2878,-105.6628,135382.33249919539,particle/m2/d,0.00012309938648156048,t/km2/yr,0.0871,100.0,µm,Fibers + Fragments,land,size range stated in paper,2.5,5220.254155640619,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.002489451510787215
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,34.0695,-116.3889,16806.082655072532,particle/m2/d,1.5281303149435095e-05,t/km2/yr,0.0871,100.0,µm,Fibers + Fragments,land,size range stated in paper,2.5,648.0315503553871,µm1.5*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.002489451510787215
